vertex: modules
0: 0 1
1: 2 3
2: 4 5
3: 6 7
4: 2 3
5: 8 9
6: 2 10
7: 4 5
8: 1 11
9: 12 13
10: 9 14
11: 11 15
12: 16 17
13: 18 19
14: 9 13
15: 16 11
16: 16 19
17: 18 20
18: 20 21
19: 19 4
20: 3 22
21: 23 7
22: 17 9
23: 24 25
24: 4 7
25: 18 4
26: 12 22
27: 25 7
28: 8 26
29: 25 26
30: 19 4
31: 24 23
32: 2 13
33: 27 21
34: 4 21
35: 12 15
36: 18 23
37: 1 22
38: 24 3
39: 8 9
40: 24
41: 12 23
42: 26 2
43: 12 7
44: 9 11
45: 25 13
46: 27 4
47: 24 12
48: 28 4
49: 25 27
50: 0 12
51: 16 14
52: 0 15
53: 8 11
54: 4 13
55: 17 20
56: 10 20
57: 10
58: 24 20
59: 17 14
60: 21 22
61: 27 20
62: 25 20
63: 19 13
64: 17 28
65: 0 28
66: 27 14
67: 9
68: 8 15
69: 26 21
70: 26 18
71: 14 15
72: 5 15
73: 28 15
74: 16 13
75: 17 29
76: 19
77: 18 5
78: 28 12
79: 16 14
80: 17 27
81: 3 12
82: 27
83: 2 12
84: 0 13
85: 26 4
86: 17 13
87: 0 10
88: 28 6
89: 19 5
90: 2 14
91: 26 10
92: 25 5
93: 19 14
94: 17 19
95: 25 23
96: 28
97: 19 5
98: 27 11
99: 27 22
100: 18 4
101: 10 6
102: 24 28
103: 17 23
104: 25 21
105: 16 23
106: 1 23
107: 25 19
108: 16 23
109: 17 5
110: 29 14
111: 8 22
112: 18 23
113: 24 17
114: 4 21
115: 6 7
116: 0 24
117: 1 2
118: 9 28
119: 26
120: 24 29
121: 9 3
122: 1 11
123: 17 13
124: 3 7
125: 4 14
126: 9 12
127: 16 11
128: 19 20
129: 11 14
130: 8 25
131: 26 19
132: 28 5
133: 24 4
134: 17 15
135: 4 14
136: 27 6
137: 13 29
138: 26 27
139: 19 7
140: 11 4
141: 10 11
142: 25 26
143: 17 2
144: 27 6
145: 3 7
146: 3 21
147: 28 5
148: 9 2
149: 17 6
150: 26 3
151: 24 22
152: 16 26
153: 18 15
154: 9 27
155: 25 5
156: 10 15
157: 10 11
158: 24 18
159: 0 15
160: 25 27
161: 2 7
162: 3 15
163: 28 29
164: 1
165: 25 22
166: 13 6
167: 26 2
168: 1 6
169: 0 14
170: 1 28
171: 3 4
172: 3 21
173: 3 7
174: 17 25
175: 2 14
176: 29
177: 11 23
178: 28 22
179: 1 15
180: 17 14
181: 0 9
182: 3 28
183: 5 23
184: 27 13
185: 4 13
186: 0 12
187: 0 14
188: 18 14
189: 2 15
190: 17 11
191: 20 7
192: 24 15
193: 3 12
194: 0 4
195: 9 15
196: 11 23
197: 27 11
198: 16 9
199: 7
200: 0 20
201: 0 24
202: 9 6
203: 25 27
204: 18 14
205: 17 11
206: 22 14
207: 26 7
208: 2 22
209: 17
210: 1 12
211: 27 7
212: 6 23
213: 2 13
214: 2 27
215: 3 13
216: 5 22
217: 1 29
218: 0 21
219: 20 23
220: 8 6
221: 9 12
222: 12 14
223: 18 23
224: 24 3
225: 13 6
226: 1 14
227: 8 13
228: 6 7
229: 16 28
230: 0 25
231: 22 6
232: 10 21
233: 18 5
234: 8 22
235: 24 1
236: 27 23
237: 22 15
238: 25 1
239: 24 29
240: 25 19
241: 12 29
242: 17 14
243: 19 5
244: 17 21
245: 8 28
246: 22 15
247: 0 22
248: 27 13
249: 8 19
250: 24 11
251: 9 21
252: 28 12
253: 18 15
254: 25 28
255: 10 28
256: 24 22
257: 26 11
258: 16 22
259: 10 3
260: 19 20
261: 8 27
262: 3 14
263: 3 19
264: 28 15
265: 9 28
266: 8 21
267: 11 5
268: 16 5
269: 18 21
270: 25 23
271: 20 13
272: 2 11
273: 10 22
274: 11 28
275: 15 7
276: 6 15
277: 0 13
278: 8 12
279: 6 7
280: 21 14
281: 8 18
282: 1 15
283: 17 26
284: 1 19
285: 26 19
286: 11 6
287: 18 2
288: 17 27
289: 1 6
290: 8 15
291: 18 29
292: 8 27
293: 18 5
294: 20 4
295: 16 26
296: 12 14
297: 11 21
298: 24 3
299: 11 6
300: 17 11
301: 2 29
302: 2 20
303: 0 17
304: 27 14
305: 21 22
306: 1 3
307: 17 5
308: 2 10
309: 10 13
310: 24 28
311: 19 13
312: 25 27
313: 11 15
314: 24 21
315: 25 9
316: 25 20
317: 6
318: 10 21
319: 9 22
320: 3 22
321: 21 13
322: 26 14
323: 10 14
324: 5 13
325: 10 27
326: 1 12
327: 9 10
328: 2 7
329: 2 13
330: 26 20
331: 12 14
332: 8 13
333: 2 20
334: 10 12
335: 24 10
336: 8 3
337: 17 28
338: 24 25
339: 3 28
340: 0 4
341: 3 23
342: 3 15
343: 26 19
344: 5 13
345: 5 23
346: 8 7
347: 28 21
348: 19 21
349: 25 28
350: 26 21
351: 16 0
352: 16 21
353: 14 23
354: 9 13
355: 20 6
356: 3 11
357: 24 6
358: 19 13
359: 29 15
360: 28 5
361: 2 3
362: 20 7
363: 1 19
364: 1 3
365: 0 4
366: 24 11
367: 12 21
368: 19 6
369: 29 14
370: 1 19
371: 10 11
372: 2 14
373: 16 11
374: 24 18
375: 24 13
376: 5 29
377: 4 14
378: 23 7
379: 25 2
380: 2 19
381: 28 23
382: 10 2
383: 2 10
384: 10 18
385: 4 29
386: 20 4
387: 0 4
388: 9 25
389: 26 23
390: 24 27
391: 26 11
392: 16 20
393: 8 11
394: 24 3
395: 2 23
396: 2 3
397: 16 14
398: 0 27
399: 29
400: 12 23
401: 0 13
402: 26 28
403: 17 26
404: 4 7
405: 10 27
406: 14 7
407: 5 22
408: 1 2
409: 16 21
410: 1 23
411: 28 21
412: 17 7
413: 23 15
414: 2 22
415: 1 11
416: 21 14
417: 8 10
418: 25 5
419: 26 10
420: 29 23
421: 19 12
422: 26 2
423: 18 29
424: 2 14
425: 17 26
426: 18 12
427: 8 21
428: 24 21
429: 21 15
430: 8 24
431: 21 7
432: 17 15
433: 27 21
434: 19 4
435: 17 20
436: 3 20
437: 0 3
438: 3 5
439: 0
440: 10 15
441: 26 15
442: 0 26
443: 19 7
444: 17 19
445: 27 11
446: 19 6
447: 8 4
448: 19 11
449: 0 21
450: 5 13
451: 12 7
452: 16 12
453: 9 20
454: 28 15
455: 1 21
456: 25 13
457: 18 6
458: 1 3
459: 16 26
460: 5 6
461: 20 21
462: 0 3
463: 3 22
464: 0 15
465: 25 21
466: 2 21
467: 28 4
468: 16 23
469: 17 20
470: 18 7
471: 0 20
472: 11 12
473: 18 6
474: 14 22
475: 1 9
476: 10 13
477: 3 21
478: 9 25
479: 12
480: 5 22
481: 16 9
482: 11 29
483: 5 15
484: 10 4
485: 27 28
486: 17 26
487: 9 13
488: 2 14
489: 20 14
490: 3 23
491: 18 12
492: 9 29
493: 9 10
494: 24 0
495: 1 12
496: 16 11
497: 10 19
498: 13 7
499: 27 13
500: 17 10
501: 3 29
502: 17 10
503: 9 14
504: 0 26
505: 25 14
506: 29 7
507: 16 9
508: 2 6
509: 26 28
510: 24 28
511: 21 6
512: 15
513: 25 6
514: 1 4
515: 10 14
516: 17 18
517: 10 2
518: 1 27
519: 0 11
520: 19 14
521: 0 12
522: 1 22
523: 11
524: 2 23
525: 11 13
526: 2 19
527: 13 7
528: 21 13
529: 28 7
530: 2 12
531: 9 11
532: 28 21
533: 20 13
534: 0 7
535: 0 29
536: 24 13
537: 1 26
538: 24 22
539: 14 23
540: 10 28
541: 6 15
542: 21 14
543: 8 26
544: 0 17
545: 9 28
546: 3 7
547: 9 6
548: 19 3
549: 26 6
550: 17 25
551: 28 12
552: 26 18
553: 16 18
554: 25 15
555: 15 23
556: 18 23
557: 29 21
558: 26 27
559: 1
560: 0 25
561: 19 15
562: 18 23
563: 11 15
564: 2 10
565: 20 4
566: 25 11
567: 17 22
568: 16 4
569: 4 23
570: 8 26
571: 11
572: 8 6
573: 25 9
574: 1 3
575: 14 7
576: 27
577: 25 26
578: 27 6
579: 26 13
580: 0 11
581: 10 23
582: 8 17
583: 18 5
584: 25 2
585: 9 28
586: 0 3
587: 8 26
588: 22
589: 22 15
590: 8 13
591: 23 7
592: 8 20
593: 19 22
594: 28 4
595: 3 6
596: 24 9
597: 27 6
598: 1 4
599: 0 25
600: 19
601: 27 12
602: 3 5
603: 14 23
604: 16 29
605: 8 17
606: 20 28
607: 24 11
608: 8 16
609: 27 13
610: 2 19
611: 20 22
612: 19 21
613: 5
614: 12 29
615: 24 23
616: 20 6
617: 8 27
618: 16 0
619: 20 6
620: 10 22
621: 2 12
622: 0 3
623: 26 2
624: 23 15
625: 24 28
626: 20 21
627: 19 12
628: 9 11
629: 10 20
630: 11 28
631: 27 3
632: 18 13
633: 4 23
634: 3 23
635: 2 6
636: 18 13
637: 25 29
638: 1 13
639: 22 6
640: 21 13
641: 21 6
642: 17 23
643: 5 21
644: 0 27
645: 26 4
646: 1 6
647: 27 4
648: 26 11
649: 8 22
650: 18 19
651: 16 15
652: 8 12
653: 26 7
654: 26 23
655: 9
656: 20 23
657: 16
658: 13 6
659: 19
660: 12 7
661: 8 27
662: 28 23
663: 9 2
664: 24
665: 29 13
666: 3 28
667: 19 5
668: 21 29
669: 9 11
670: 9 17
671: 20 12
672: 16 10
673: 20 14
674: 20 6
675: 8 13
676: 1 3
677: 8 12
678: 25 9
679: 16 11
680: 21 14
681: 4 6
682: 10 21
683: 2 5
684: 26 28
685: 24 26
686: 27 22
687: 11 12
688: 10 20
689: 8 21
690: 18 3
691: 1 15
692: 19 5
693: 17 1
694: 3 6
695: 11 15
696: 0
697: 25 28
698: 1 3
699: 2 4
700: 0 22
701: 0 17
702: 0 12
703: 16 28
704: 2 14
705: 17 6
706: 16 18
707: 4 22
708: 2
709: 26 4
710: 5 13
711: 8 25
712: 13 15
713: 9 19
714: 24 28
715: 18 23
716: 0 17
717: 12 5
718: 9 18
719: 16 1
720: 8
721: 27 4
722: 19 28
723: 18 3
724: 16 27
725: 0 28
726: 20 14
727: 24 19
728: 16 29
729: 17 9
730: 12 14
731: 24 21
732: 10 11
733: 0 22
734: 24 3
735: 11 28
736: 7
737: 11 12
738: 28 6
739: 18 27
740: 4 13
741: 27 13
742: 2 12
743: 7
744: 1 26
745: 18 21
746: 18 21
747: 22 7
748: 28 23
749: 17 7
750: 12 23
751: 16 0
752: 8 29
753: 24 18
754: 17 26
755: 26 14
756: 12 21
757: 4 21
758: 11 29
759: 6 23
760: 1 15
761: 18 3
762: 10 7
763: 26 7
764: 2 11
765: 2 20
766: 2 11
767: 21 15
768: 20 6
769: 16 22
770: 0 18
771: 29 14
772: 17 14
773: 27 29
774: 9 26
775: 3 11
776: 0 26
777: 3 4
778: 1 13
779: 9 15
780: 3 22
781: 16 22
782: 25 19
783: 27 19
784: 25 22
785: 11 5
786: 2
787: 18 14
788: 12 21
789: 5 7
790: 28 29
791: 0 13
792: 27 23
793: 4 22
794: 25 12
795: 3 7
796: 10 4
797: 16 27
798: 24 19
799: 3 22
800: 17 19
801: 2 27
802: 28 5
803: 2 27
804: 10 13
805: 28 21
806: 29 7
807: 17 21
808: 17 14
809: 0 22
810: 8 18
811: 27 14
812: 16 23
813: 10 28
814: 20 13
815: 10
816: 9 25
817: 10 13
818: 3 13
819: 27 11
820: 27 5
821: 0 5
822: 24 11
823: 2 27
824: 10 27
825: 24 13
826: 25 6
827: 8 0
828: 29 7
829: 9 10
830: 18 13
831: 15
832: 25 5
833: 16 7
834: 28 21
835: 16 9
836: 25 19
837: 25 5
838: 9 11
839: 18 20
840: 24 3
841: 0 28
842: 18 4
843: 17 2
844: 25 14
845: 11 20
846: 24 9
847: 27 23
848: 17 4
849: 2 7
850: 9 29
851: 14 7
852: 21 14
853: 0 20
854: 26 14
855: 21 15
856: 4 5
857: 16 28
858: 19 21
859: 25 5
860: 13 29
861: 26 15
862: 27 5
863: 11 28
864: 3 7
865: 10 14
866: 11 15
867: 2 19
868: 3 28
869: 16 22
870: 17 6
871: 16 23
872: 1 2
873: 26 27
874: 25 21
875: 24 28
876: 24 5
877: 19 5
878: 8 21
879: 18 7
880: 1 7
881: 17
882: 27 14
883: 8 17
884: 11 28
885: 9 2
886: 25 18
887: 28 29
888: 8 20
889: 16 22
890: 17 2
891: 28 22
892: 25 9
893: 1 4
894: 27 20
895: 24 29
896: 24 4
897: 27 13
898: 16 10
899: 27 13
900: 26 3
901: 16 26
902: 5 29
903: 19 28
904: 16 18
905: 17 3
906: 3 20
907: 2 18
908: 18 12
909: 26 7
910: 18 10
911: 20 13
912: 0 22
913: 1 15
914: 2 7
915: 8 18
916: 28 4
917: 9 12
918: 19 14
919: 29 23
920: 16 2
921: 19 15
922: 13 7
923: 19
924: 10 28
925: 10 13
926: 24 17
927: 26 3
928: 24 23
929: 19 13
930: 24 1
931: 16 0
932: 17 7
933: 20 15
934: 19 28
935: 16 10
936: 21 7
937: 8 15
938: 17 2
939: 1 18
940: 1 21
941: 27 11
942: 2 11
943: 10 4
944: 9 22
945: 24 29
946: 26 19
947: 17 19
948: 2 29
949: 0 27
950: 3 15
951: 9 14
952: 1 20
953: 9 5
954: 10 28
955: 20 6
956: 12 23
957: 26 28
958: 4 29
959: 16 0
960: 10 23
961: 24 23
962: 16 22
963: 0 16
964: 16 17
965: 24 14
966: 12 5
967: 16 22
968: 9 11
969: 9 23
970: 27 20
971: 18 11
972: 10 5
973: 24 14
974: 2 22
975: 0 29
976: 19 7
977: 9 23
978: 13 7
979: 16 6
980: 17 18
981: 24 27
982: 17 5
983: 8 13
984: 0 20
985: 16 15
986: 0 20
987: 0 14
988: 19 7
989: 14 6
990: 9 23
991: 9 10
992: 21 22
993: 24 7
994: 16 25
995: 19 29
996: 25 19
997: 1 28
998: 17 13
999: 1 10
1000: 1 20
1001: 0 17
1002: 16 23
1003: 9 4
1004: 13 29
1005: 4 22
1006: 5 23
1007: 3 15
1008: 1
1009: 18 28
1010: 23 15
1011: 4 23
1012: 26 29
1013: 9 20
1014: 16 26
1015: 18 28
1016: 19 6
1017: 4 15
1018: 2 14
1019: 16 17
1020: 25 26
1021: 20 6
1022: 8 2
1023: 29 6
1024: 4 13
1025: 11 12
1026: 11 4
1027: 26 10
1028: 22 15
1029: 2 23
1030: 22 7
1031: 14 15
1032: 10 29
1033: 17 4
1034: 3 28
1035: 25 6
1036: 3 21
1037: 11 22
1038: 18 29
1039: 17 23
1040: 19 21
1041: 16 18
1042: 8 4
1043: 10 19
1044: 25 9
1045: 0 22
1046: 5 6
1047: 1 14
1048: 20
1049: 24 3
1050: 20 4
1051: 4 13
1052: 28 15
1053: 24 23
1054: 19 7
1055: 8 27
1056: 2 11
1057: 16 21
1058: 26 2
1059: 29
1060: 16 27
1061: 20 23
1062: 6 15
1063: 28 14
1064: 24 23
1065: 29 14
1066: 20 4
1067: 8 6
1068: 16 20
1069: 12 21
1070: 0 15
1071: 8 20
1072: 20 15
1073: 1
1074: 27 11
1075: 17 22
1076: 0 17
1077: 11 29
1078: 17 3
1079: 0 25
1080: 2 6
1081: 8 14
1082: 0 21
1083: 27 6
1084: 2 21
1085: 1 6
1086: 17 1
1087: 27 6
1088: 24 21
1089: 17 29
1090: 14 23
1091: 25 2
1092: 2 3
1093: 8 11
1094: 9 26
1095: 28 22
1096: 27 7
1097: 24 11
1098: 17 20
1099: 17 12
1100: 25 11
1101: 24 14
1102: 2
1103: 25 28
1104: 9 4
1105: 12 21
1106: 27 14
1107: 16 28
1108: 4 21
1109: 17 5
1110: 19 4
1111: 24 1
1112: 17 4
1113: 21 15
1114: 24 10
1115: 4 13
1116: 8 20
1117: 4 14
1118: 5 21
1119: 19 14
1120: 16 22
1121: 24 1
1122: 8 15
1123: 1 5
1124: 0 10
1125: 4 7
1126: 18 27
1127: 25 12
1128: 12 23
1129: 24 7
1130: 18 15
1131: 2 27
1132: 8 22
1133: 27 5
1134: 18 28
1135: 27 23
1136: 5 7
1137: 27 21
1138: 0 20
1139: 26 7
1140: 0 17
1141: 29 21
1142: 17 27
1143: 24 17
1144: 21 14
1145: 27 22
1146: 16 17
1147: 16 1
1148: 2 21
1149: 27 23
1150: 20 5
1151: 17 12
1152: 9 10
1153: 15 7
1154: 28 12
1155: 16 3
1156: 28 7
1157: 3 12
1158: 24 2
1159: 27 29
1160: 21 14
1161: 3 29
1162: 1 15
1163: 10 11
1164: 26 23
1165: 13
1166: 17 11
1167: 2 19
1168: 19 21
1169: 17 12
1170: 8 26
1171: 13 29
1172: 1 5
1173: 24 23
1174: 28 29
1175: 9 4
1176: 14 7
1177: 2 19
1178: 1 6
1179: 0 20
1180: 16 10
1181: 2 29
1182: 8 20
1183: 21 7
1184: 10 20
1185: 26 2
1186: 16 23
1187: 9 2
1188: 4 5
1189: 25 26
1190: 24 2
1191: 27 22
1192: 12 5
1193: 4 6
1194: 2 3
1195: 8 16
1196: 24 6
1197: 0 12
1198: 24 2
1199: 3 5
1200: 10 14
1201: 1 11
1202: 13 7
1203: 0 28
1204: 0 12
1205: 16 5
1206: 27 19
1207: 0 2
1208: 18 27
1209: 9 23
1210: 9 6
1211: 13 6
1212: 16 1
1213: 1 5
1214: 19 22
1215: 8 24
1216: 19 6
1217: 29 21
1218: 12
1219: 9 21
1220: 24 8
1221: 26 15
1222: 20 14
1223: 19 12
1224: 11 14
1225: 16 13
1226: 20 6
1227: 19 22
1228: 1 5
1229: 1 17
1230: 25 15
1231: 23 7
1232: 2 6
1233: 1 27
1234: 8 15
1235: 8 6
1236: 10 12
1237: 26 10
1238: 16 6
1239: 16 11
1240: 3 21
1241: 25 19
1242: 2 12
1243: 0 23
1244: 24 10
1245: 5 6
1246: 26 15
1247: 11 21
1248: 22 7
1249: 16 26
1250: 5 13
1251: 1 2
1252: 10 29
1253: 1 3
1254: 20 6
1255: 26 7
1256: 3 19
1257: 8 0
1258: 26 5
1259: 19 22
1260: 26 15
1261: 16 11
1262: 18 19
1263: 18 28
1264: 9 14
1265: 10 5
1266: 27 23
1267: 14 7
1268: 20 5
1269: 8 12
1270: 10 23
1271: 26 4
1272: 3 6
1273: 0 12
1274: 28 15
1275: 8 22
1276: 12 6
1277: 11 13
1278: 2 13
1279: 21 6
1280: 25 17
1281: 27 7
1282: 8 15
1283: 0 17
1284: 17 18
1285: 18 27
1286: 0 26
1287: 2 3
1288: 28 12
1289: 4
1290: 20 4
1291: 27 21
1292: 1 12
1293: 29 15
1294: 26 4
1295: 21
1296: 24 9
1297: 2 11
1298: 8 14
1299: 8 6
1300: 25 14
1301: 26 14
1302: 6 15
1303: 1 22
1304: 25 9
1305: 24 26
1306: 29 6
1307: 18 15
1308: 27 15
1309: 3 13
1310: 16 28
1311: 20 12
1312: 16 7
1313: 8 5
1314: 27 12
1315: 27 4
1316: 20 7
1317: 10 20
1318: 28 7
1319: 21
1320: 2 15
1321: 0 3
1322: 26 18
1323: 16 26
1324: 17 22
1325: 17 11
1326: 8 4
1327: 16 28
1328: 19 22
1329: 1 15
1330: 9 4
1331: 25 15
1332: 1 26
1333: 4 5
1334: 0 19
1335: 19 7
1336: 8 7
1337: 11 6
1338: 16 14
1339: 9 3
1340: 0 11
1341: 13 15
1342: 1 13
1343: 27 4
1344: 22 7
1345: 26 7
1346: 3 5
1347: 9 20
1348: 19 6
1349: 20 15
1350: 18 13
1351: 29 15
1352: 18 11
1353: 14 6
1354: 0 17
1355: 3 13
1356: 21 6
1357: 2 20
1358: 24 1
1359: 19 15
1360: 17 20
1361: 16 6
1362: 18 13
1363: 0 15
1364: 19 20
1365: 0 9
1366: 9 17
1367: 8 17
1368: 14 23
1369: 27 5
1370: 1 22
1371: 0 2
1372: 16 5
1373: 28 14
1374: 0 29
1375: 26 4
1376: 27 3
1377: 22 6
1378: 6 15
1379: 1 29
1380: 8 13
1381: 10 20
1382: 17 1
1383: 27 7
1384: 17 9
1385: 25 5
1386: 26 20
1387: 21
1388: 17 10
1389: 3 6
1390: 26 3
1391: 0 15
1392: 17 27
1393: 24 3
1394: 1 6
1395: 8 3
1396: 14 23
1397: 17 23
1398: 8 7
1399: 18 27
1400: 3 14
1401: 9 3
1402: 10 6
1403: 17 22
1404: 8 20
1405: 29 22
1406: 29 6
1407: 8 28
1408: 1 29
1409: 8 12
1410: 3 5
1411: 9 23
1412: 17 12
1413: 4 29
1414: 11 21
1415: 17 10
1416: 23 7
1417: 20 5
1418: 9 19
1419: 3 13
1420: 5 14
1421: 25 23
1422: 27 7
1423: 5 29
1424: 16 9
1425: 19 22
1426: 18 19
1427: 1 10
1428: 18 12
1429: 3 21
1430: 29 23
1431: 11 14
1432: 26 21
1433: 4 12
1434: 10 12
1435: 17 13
1436: 0 17
1437: 13 7
1438: 28 13
1439: 29 13
1440: 3 4
1441: 22 23
1442: 5 29
1443: 24 11
1444: 29 14
1445: 8 3
1446: 27 23
1447: 9 17
1448: 9 13
1449: 16 27
1450: 24 10
1451: 27 29
1452: 26 29
1453: 10 14
1454: 13 22
1455: 12 14
1456: 17 22
1457: 13
1458: 5 15
1459: 17 10
1460: 27 12
1461: 16 11
1462: 8 16
1463: 8 15
1464: 9 27
1465: 26 11
1466: 3 29
1467: 0 29
1468: 8 10
1469: 23 15
1470: 25 21
1471: 16 23
1472: 16 10
1473: 17 20
1474: 1 4
1475: 3 14
1476: 12 15
1477: 25 6
1478: 2 29
1479: 12 5
1480: 17 2
1481: 8 4
1482: 9 21
1483: 24 20
1484: 11 12
1485: 26 27
1486: 18 7
1487: 16 25
1488: 11 7
1489: 27 6
1490: 25 23
1491: 1 26
1492: 25 23
1493: 24 10
1494: 10 28
1495: 26 23
1496: 3 4
1497: 10 4
1498: 19 14
1499: 9 22
1500: 9 13
1501: 17 27
1502: 3 28
1503: 26 11
1504: 13
1505: 13 7
1506: 3 21
1507: 13 22
1508: 24 2
